A,C,P,B,L,R,LA
3,4,81,18.9033,121.6,1,17
3,4,81,18.8805,121.2,1,17
3,4,81,18.8773,120.6,1,17
3,4,81,18.8805,120.6,1,17
3,4,81,18.8903,121.4,1,17
3,4,81,18.874,120.6,1,17
3,4,81,18.8675,120.4,1,17
3,4,81,18.8935,121.2,1,17
3,4,81,18.8838,120.6,1,17
3,4,81,18.8707,121,1,17
3,4,81,18.8675,120.6,1,17
3,4,81,18.8903,121.2,1,17
3,4,81,18.874,121,1,17
3,4,81,18.8838,120.8,1,17
3,4,81,18.8642,120.2,1,17
3,4,81,18.874,120.8,1,17
3,4,81,18.8642,120.8,1,17
3,4,81,18.8642,120.2,1,17
3,4,81,18.874,120.8,1,17
3,4,81,18.8707,120.4,1,17
3,4,81,18.8707,121,1,17
3,4,81,18.8968,120.6,1,17
3,4,81,18.8675,120.8,1,17
3,4,81,18.8642,120.8,1,17
3,4,81,18.861,120.4,1,17
3,4,81,18.874,120.6,1,17
3,4,81,18.887,121.2,1,17
3,4,81,18.8642,120.6,1,17
3,4,81,18.8903,121,1,17
3,4,81,18.8805,121.2,1,17
3,4,84,23.926,160.6,1,18
3,4,84,23.9098,160.6,1,18
3,4,84,23.9065,160.2,1,18
3,4,84,23.926,160.6,1,18
3,4,84,23.9098,160.4,1,18
3,4,84,23.9163,160.8,1,18
3,4,84,23.9065,160.4,1,18
3,4,84,23.9195,160,0.98,18
3,4,84,23.9228,160.6,1,18
3,4,84,23.9195,160.6,1,18
3,4,84,23.9228,160.8,1,18
3,4,84,23.9163,160.6,1,18
3,4,84,23.9163,161,1,18
3,4,84,23.913,160.6,1,18
3,4,84,23.9098,160.6,1,18
3,4,84,23.9195,160.8,1,18
3,4,84,23.913,160.6,1,18
3,4,84,23.9195,160.2,1,18
3,4,84,23.9195,160.6,1,18
3,4,84,23.9098,160.4,1,18
3,4,84,23.913,160.6,1,18
3,4,84,23.9098,160.4,1,18
3,4,84,23.9098,160.6,1,18
3,4,84,23.9163,160.8,1,18
3,4,84,23.9163,160,1,18
3,4,84,23.926,161.4,1,18
3,4,84,23.913,160.6,1,18
3,4,84,23.9195,161,1,18
3,4,84,23.913,160.8,1,18
3,4,84,23.9163,160.6,1,18
3,4,84,23.8967,160,1,18
3,4,84,23.9195,160.6,1,18
3,4,84,23.913,160.4,1,18
3,4,84,23.913,160.6,1,18
3,4,84,23.9325,160.6,1,18
3,4,84,23.9358,161.2,1,18
3,4,84,23.9065,160.2,1,18
3,4,84,23.9358,162.2,1,18
3,4,84,23.9195,160.8,1,18
3,4,84,23.9163,160.8,1,18
3,4,84,23.9228,161.4,1,18
3,4,84,23.9195,160.6,1,18
3,4,84,23.9163,160.2,1,18
3,4,84,23.9195,160.6,1,18
3,4,84,23.9098,160.4,1,18
3,4,84,23.9455,162.2,1,18
3,4,84,23.9065,160.6,1,18
3,4,84,23.939,161.4,1,18
3,4,84,23.9098,160.6,1,18
3,4,84,23.9358,161.2,1,18
3,4,84,23.9293,161.2,1,18
3,4,84,23.9163,161,1,18
3,4,84,23.926,160,1,18
3,4,84,23.9228,161,1,18
3,4,84,23.9195,161.2,1,18
3,4,84,23.9195,161,1,18
3,4,84,23.9163,161,1,18
3,4,84,23.913,161,1,18
3,4,84,23.9098,160.6,1,18
3,4,84,23.9195,161,1,18
3,4,84,23.913,160.4,1,18
3,4,84,23.9098,160.2,1,18
3,4,84,23.939,162.2,1,18
3,4,84,23.926,160.8,1,18
3,4,84,23.9032,160,1,18
3,4,84,23.913,160.2,1,18
3,4,84,23.9163,160.6,1,18
3,4,84,23.9358,162.2,1,18
3,4,84,23.913,160.8,1,18
3,4,84,23.9163,160.8,1,18
3,4,84,23.9098,160.4,1,18
3,4,84,23.9098,160.6,1,18
3,4,84,23.9065,160.2,1,18
3,4,84,23.913,160.6,1,18
3,4,84,23.9228,161.2,1,18
3,4,87,32.8343,200,0.98,19
3,4,87,32.8278,200.2,1,19
3,4,87,32.8278,200.4,1,19
3,4,87,32.8441,200.6,1,19
3,4,87,32.8343,201.2,1,19
3,4,87,32.8538,201.4,1,19
3,4,87,32.8473,200.6,1,19
3,4,87,32.8538,201.224,0.98,19
3,4,87,32.8245,200,1,19
3,4,87,32.818,200.2,1,19
3,4,87,32.8115,200.2,1,19
3,4,87,32.8245,200.2,1,19
3,4,87,32.8506,201,1,19
3,4,87,32.8343,200.8,1,19
3,4,87,32.8408,201,1,19
3,4,87,32.8506,201,1,19
3,4,87,32.8571,201,1,19
3,4,87,32.8408,200.2,1,19
3,4,87,32.8278,200.8,1,19
3,4,87,32.8408,200.816,0.98,19
3,4,87,32.8408,200.8,1,19
3,4,87,32.8441,200.4,1,19
3,4,87,32.8376,200.8,1,19
3,4,87,32.8408,200.6,1,19
3,4,87,32.8473,200.6,1,19
3,4,87,32.8278,200.6,1,19
3,4,87,32.8376,200.8,1,19
3,4,87,32.8311,200.2,1,19
3,4,87,32.8538,201,1,19
3,4,87,32.8506,200.8,1,19
3,4,87,32.8408,200.6,1,19
3,4,87,32.8408,201.4,1,19
3,4,87,32.8376,200,1,19
3,4,87,32.8376,201,1,19
3,4,87,32.8538,201.2,1,19
3,4,87,32.8603,200.4,1,19
3,4,87,32.818,200.4,1,19
3,4,87,32.8278,200.4,1,19
3,4,87,32.8311,200.6,1,19
3,4,87,32.8441,200.4,1,19
3,4,87,32.8213,201.02,0.98,19
3,4,87,32.8408,200.6,1,19
3,4,87,32.8408,201,1,19
3,4,87,32.8278,200.6,1,19
3,4,87,32.8408,201.2,1,19
3,4,87,32.8311,200.6,1,19
3,4,87,32.8603,201.2,1,19
3,4,87,32.8441,201.2,1,19
3,4,87,32.8506,200.6,1,19
3,4,87,32.8473,201,1,19
3,4,87,32.8311,200.4,1,19
3,4,87,32.8571,202.245,0.98,19
3,4,87,32.8245,200.204,0.98,19
3,4,87,32.8408,200.8,1,19
3,4,87,32.8408,200.8,1,19
3,4,87,32.8376,200.2,1,19
3,4,87,32.8668,201.8,1,19
3,4,87,32.8213,200.6,1,19
3,4,87,32.8343,200.8,1,19
3,4,87,32.8245,200.2,1,19
3,4,87,32.8376,200.2,1,19
