A,C,P,B,L,R,LA
3,1,60,14.9356002808,178.0670013428,0.9599999785,0
3,1,66,16.8197994232,165.5330047607,0.9800000191,1
3,1,78,18.7299995422,151,1,2
3,1,81,18.6975002289,163.5330047607,0.9800000191,3
3,1,87,18.8999996185,174.733001709,0.9800000191,4
3,1,90,21.6919994354,210.8000030518,1,5
3,2,60,13.0481004715,112.8000030518,1,6
3,2,66,16.8327999115,121,1,7
3,2,78,18.704000473,123.733001709,0.9800000191,8
3,2,84,24.996799469,111.1999969482,1,9
3,2,87,19.2562999725,121.1999969482,1,10
3,2,90,28.8470993042,200.8000030518,1,11
3,3,60,18.6942005157,111,1,12
3,3,81,20.6305007935,101.8000030518,1,13
3,3,84,19.964799881,160.6000061035,1,14
3,3,87,23.9454994202,160.6000061035,1,15
3,3,90,26.9043006897,201,1,16
3,4,81,18.8773002625,120.5999984741,1,17
3,4,84,23.9162998199,160.3999938965,1,18
3,4,87,32.870098114,201.8000030518,1,19
3,4,90,35.4464988708,220.1999969482,1,20
3,5,87,35.4627990723,180.1999969482,1,21
3,5,90,42.7943992615,220.1999969482,1,22
3,6,84,27.8050994873,141.1999969482,1,23
3,6,87,33.1930007935,180,1,24
3,6,90,42.0863990784,240,1,25
3,7,84,30.0552997589,170.1999969482,1,26
3,7,87,33.5363006592,190,1,27
3,7,90,40.5486984253,260.200012207,1,28
3,8,78,23.6672992706,131,1,29
3,8,81,22.1987991333,170.8000030518,1,30
3,8,84,31.1298999786,171,1,31
3,8,90,43.474899292,300,1,32
2,1,60,14.1904001236,328.1329956055,0.7599999905,33
2,1,66,16.0778999329,270,0.7799999714,34
2,1,78,17.9881000519,217.0670013428,0.8600000143,35
2,1,81,17.9881000519,136.6670074463,0.9599999785,36
2,1,87,18.1646995544,147.0670013428,0.9599999785,37
2,1,90,20.7833995819,160.8000030518,1,38
2,2,60,12.2215995789,240.1999969482,0.8199999928,39
2,2,66,16.0713996887,200.8000030518,0.8799999952,40
2,2,78,18.0207004547,137.4669952393,0.8999999762,41
2,2,84,24.3199996948,148.266998291,0.8999999762,42
2,2,87,18.5860004425,117.8669967651,0.9599999785,43
2,2,90,27.7912006378,154.5330047607,0.9800000191,44
2,3,60,18.0433998108,166.5330047607,0.8600000143,45
