A,C,P,B,L,R,LA
3,1,60,14.8737,152,1,0
3,1,66,16.7547,150.6,1,1
3,1,78,18.6845,151,1,2
3,1,81,18.7235,152.2,1,3
3,1,87,18.861,160.8,1,4
3,1,90,21.6367,210.8,1,5
3,2,60,12.9277,111,1,6
3,2,66,16.7612,157.6,0.98,7
3,2,78,18.6747,110.8,1,8
3,2,84,24.8374,1433.2,0.3,9
3,2,87,19.6662,157.6,0.98,10
3,2,90,28.782,200,1,11
3,3,60,18.7333,149,0.98,12
3,3,81,20.5915,100.2,1,13
3,3,84,19.9062,160.2,1,14
3,3,87,23.9163,160.2,1,15
3,3,90,26.862,200,1,16
3,4,81,18.8707,121.6,1,17
3,4,84,23.939,308.2,0.92,18
3,4,87,32.818,201.2,1,19
3,4,90,35.209,1822,0.1,20
3,5,87,35.6873,1090.4,0.5,21
3,5,90,42.7488,220,1,22
3,6,84,27.753,140,1,23
3,6,87,33.3784,1017.2,0.54,24
3,6,90,42.0766,241.6,1,25
3,7,84,30.0553,171.4,1,26
3,7,87,33.5558,190.8,1,27
3,7,90,40.4901,260.4,1,28
3,8,78,23.5958,130,1,29
3,8,81,22.2118,244,0.96,30
3,8,84,31.2372,170.2,1,31
3,8,90,43.4782,300.6,1,32
2,1,60,14.1449,112.4,1,33
2,1,66,16.0519,186,0.96,34
2,1,78,17.9654,151,0.98,35
2,1,81,17.9751,148.6,0.98,36
2,1,87,18.1679,121.6,1,37
2,1,90,20.7671,163.2,1,38
2,2,60,12.3062,281,0.9,39
2,2,66,16.0454,503.6,0.78,40
2,2,78,17.9751,381,0.84,41
2,2,84,24.3005,315.2,0.88,42
2,2,87,18.5893,136,0.98,43
2,2,90,27.7164,553.4,0.78,44
2,3,60,17.9784,148.4,0.96,45
2,3,84,18.9976,110,1,46
2,3,87,23.0141,110,1,47
2,3,90,25.8061,140,1,48
2,4,81,18.1614,80.2,1,49
2,4,84,23.0922,115.8,1,50
2,4,87,31.7524,177.2,0.98,51
2,4,90,34.2922,200.4,0.98,52
2,5,87,34.1393,496.2,0.8,53
2,5,90,41.3757,265,0.94,54
2,6,84,27.1567,329.2,0.88,55
2,6,87,31.9444,246.2,0.94,56
2,6,90,40.4847,196.8,0.98,57
2,7,84,29.2768,270.4,0.92,58
2,7,87,31.6468,1888.4,0.06,59
2,7,90,38.8884,410.2,0.88,60
2,8,75,18.4616,357.8,0.86,61
2,8,78,22.7001,243.2,0.92,62
2,8,81,21.4951,357.2,0.88,63
2,8,84,30.0935,284.4,0.92,64
2,8,90,41.7065,222.6,1,65
1,1,60,7.07768,284,0.88,66
1,1,66,10.9405,245,0.9,67
1,1,78,10.9242,284,0.88,68
1,1,81,8.98792,362,0.84,69
1,1,90,11.2829,215.2,0.92,70
1,2,66,9.00744,323,0.86,71
1,2,84,10.8819,674,0.68,72
1,2,90,13.5551,185.8,0.94,73
1,3,60,10.5956,1532,0.24,74
1,3,84,11.2146,448,0.8,75
1,3,87,9.03431,1107.6,0.46,76
1,3,90,13.4933,417.4,0.82,77
1,4,84,9.35313,176.4,0.94,78
1,4,87,13.5258,340.2,0.86,79
1,4,90,15.3198,1539.2,0.24,80
1,5,87,17.5651,886.4,0.58,81
1,5,90,19.9511,319.2,0.88,82
1,6,84,13.1736,448,0.8,83
1,6,87,17.6692,387.2,0.84,84
1,6,90,18.2825,442,0.82,85
1,7,87,15.7362,502.4,0.78,86
1,8,78,9.36614,215.2,0.92,87
3,1,60,14.8445,187.6,0.98,0
3,1,66,16.6474,1482,0.28,1
3,1,78,18.6812,187.4,0.98,2
3,1,81,18.717,225.6,0.96,3
3,1,87,18.8577,160.6,1,4
3,1,90,21.6367,210.8,1,5
3,2,60,12.931,110.6,1,6
3,2,66,16.7449,120,1,7
3,2,78,18.6715,110.2,1,8
3,2,84,24.8374,1433.2,0.3,9
3,2,87,19.5686,496,0.8,10
3,2,90,28.782,200,1,11
3,3,60,18.9512,376.4,0.86,12
3,3,81,20.5947,100.8,1,13
3,3,84,19.9128,161,1,14
3,3,87,23.926,160.4,1,15
3,3,90,26.8783,236,0.98,16
3,4,81,18.887,159.4,0.98,17
3,4,84,23.939,308.2,0.92,18
3,4,87,32.8148,201,1,19
3,4,90,35.209,1822,0.1,20
3,5,87,35.6873,1090.4,0.5,21
3,5,90,42.6675,1110,0.5,22
3,6,84,27.7693,140,1,23
3,6,87,33.3784,1017.2,0.54,24
3,6,90,42.0311,275.2,0.98,25
3,7,84,30.0748,171.8,1,26
3,7,87,33.5298,262.6,0.96,27
3,7,90,40.4869,260.4,1,28
3,8,78,23.5925,130.2,1,29
3,8,81,22.2378,170.8,1,30
3,8,84,31.2242,170.2,1,31
3,8,90,43.4652,368.2,0.96,32
2,1,60,14.1319,111.6,1,33
2,1,66,16.1853,262,0.92,34
2,1,78,17.9719,111.2,1,35
2,1,81,17.9751,223.4,0.94,36
2,1,87,18.1679,160,0.98,37
2,1,90,20.7769,164,1,38
2,2,60,12.303,399.2,0.84,39
2,2,66,15.7949,1616,0.2,40
2,2,78,18.0044,342.6,0.86,41
2,2,84,24.2907,276,0.9,42
2,2,87,18.5275,362.8,0.86,43
2,2,90,27.7554,476.6,0.82,44
2,3,60,17.9947,225.6,0.92,45
2,3,84,18.9976,110,1,46
2,3,87,23.0206,110.6,1,47
2,3,90,25.8061,178.4,0.98,48
2,4,81,18.1289,233.6,0.92,49
2,4,84,23.141,232.2,0.94,50
2,4,87,31.7784,177.2,0.98,51
2,4,90,34.2239,459,0.84,52
2,5,87,34.2044,423.6,0.84,53
2,5,90,41.3627,226.4,0.96,54
2,6,84,27.1339,405.2,0.84,55
2,6,87,31.9378,282,0.92,56
2,6,90,40.4717,233.6,0.96,57
2,7,84,29.2378,195.2,0.96,58
2,7,87,31.6402,1925.6,0.04,59
2,7,90,38.8136,630.2,0.76,60
2,8,75,18.4583,321.8,0.88,61
2,8,78,22.6741,204.8,0.94,62
2,8,81,21.4431,393.8,0.86,63
2,8,84,30.0968,358.8,0.88,64
2,8,90,41.6869,258.8,0.98,65
1,1,60,7.07768,362,0.84,66
1,1,66,10.9502,167,0.94,67
1,1,78,10.9112,323,0.86,68
1,1,81,8.99768,323,0.86,69
1,1,90,11.2959,98.8,0.98,70
1,2,66,9.02371,323,0.86,71
1,2,84,10.9209,362,0.84,72
1,2,90,13.5291,301.6,0.88,73
1,3,60,10.5956,1532,0.24,74
1,3,84,11.2146,448,0.8,75
1,3,87,9.03431,1107.6,0.46,76
1,3,90,13.4542,571.8,0.74,77
1,4,84,9.32385,215.2,0.92,78
1,4,87,13.5486,340.2,0.86,79
1,4,90,15.3198,1539.2,0.24,80
1,5,87,17.5683,1769.6,0.12,81
1,5,90,19.6258,1006.8,0.52,82
1,6,84,13.1736,448,0.8,83
1,6,87,17.6594,425.6,0.82,84
1,6,90,18.1947,670,0.7,85
1,7,87,15.759,387.2,0.84,86
1,8,78,9.20348,1806,0.1,87
3,1,60,14.9453,268,0.94,0
3,1,66,16.6474,1482,0.28,1
3,1,78,18.9154,261.2,0.94,2
3,1,81,18.704,152.8,1,3
3,1,87,18.861,160.4,1,4
3,1,90,21.6367,210.8,1,5
3,2,60,13.1294,829.4,0.62,6
3,2,66,16.7547,120.2,1,7
3,2,78,18.678,110.6,1,8
3,2,84,24.8374,1433.2,0.3,9
3,2,87,19.5686,496,0.8,10
3,2,90,28.7853,200,1,11
3,3,60,18.9122,564.6,0.76,12
3,3,81,20.598,100.8,1,13
3,3,84,19.9095,160.6,1,14
3,3,87,23.9423,161.6,1,15
3,3,90,26.862,200,1,16
3,4,81,18.8935,121.6,1,17
3,4,84,23.939,308.2,0.92,18
3,4,87,32.818,201,1,19
3,4,90,35.209,1822,0.1,20
3,5,87,35.6873,1090.4,0.5,21
3,5,90,42.6675,1110,0.5,22
3,6,84,27.7628,177.2,0.98,23
3,6,87,33.3784,1017.2,0.54,24
3,6,90,42.0571,240,1,25
3,7,84,30.0586,170.8,1,26
3,7,87,33.5818,192.2,1,27
3,7,90,40.4674,295.2,0.98,28
3,8,78,23.5795,130.2,1,29
3,8,81,22.2476,207.4,0.98,30
3,8,84,31.1689,207,0.98,31
3,8,90,43.5855,606.6,0.82,32
2,1,60,14.1449,112.4,1,33
2,1,66,16.1722,375.4,0.86,34
2,1,78,17.9654,112,1,35
2,1,81,17.9686,223.4,0.94,36
2,1,87,18.1972,123.2,1,37
2,1,90,20.7639,162.4,1,38
2,2,60,12.2997,396.8,0.84,39
2,2,66,15.7949,1616,0.2,40
2,2,78,17.9816,304.4,0.88,41
2,2,84,24.307,316,0.88,42
2,2,87,18.5405,322.8,0.88,43
2,2,90,27.8172,624,0.74,44
2,3,60,18.0272,612.2,0.72,45
2,3,84,18.9976,110,1,46
2,3,87,23.0141,110,1,47
2,3,90,25.8029,140,1,48
2,4,81,18.1354,156.8,0.96,49
2,4,84,23.1117,116.8,1,50
2,4,87,31.7004,549.2,0.78,51
2,4,90,34.2011,419,0.86,52
2,5,87,34.2174,233.6,0.94,53
2,5,90,41.3659,264.6,0.94,54
2,6,84,27.1795,290.6,0.9,55
2,6,87,31.9541,172.4,0.98,56
2,6,90,40.4782,197.8,0.98,57
2,7,84,29.1792,346.2,0.88,58
2,7,87,31.637,1925.6,0.04,59
2,7,90,38.9177,1062.4,0.52,60
2,8,75,18.5234,358.6,0.86,61
2,8,78,22.6709,167,0.96,62
2,8,81,21.1861,655,0.72,63
2,8,84,30.0187,581.2,0.76,64
2,8,90,41.6869,335.6,0.94,65
1,1,60,7.0972,206,0.92,66
1,1,66,10.6151,1415,0.3,67
1,1,78,10.9372,245,0.9,68
1,1,81,8.99443,323,0.86,69
1,1,90,11.2959,254,0.9,70
1,2,66,9.02045,323,0.86,71
1,2,84,10.9112,401,0.82,72
1,2,90,13.5388,263,0.9,73
1,3,60,10.5956,1532,0.24,74
1,3,84,11.2146,448,0.8,75
1,3,87,9.03431,1107.6,0.46,76
1,3,90,13.4998,417.4,0.82,77
1,4,84,9.34987,137.6,0.96,78
1,4,87,13.5356,301.6,0.88,79
1,4,90,15.3198,1539.2,0.24,80
1,5,87,17.5683,1769.6,0.12,81
1,5,90,19.6258,1006.8,0.52,82
1,6,84,13.1736,448,0.8,83
1,6,87,17.0674,1462.4,0.28,84
1,6,90,18.2597,518,0.78,85
1,7,87,15.7785,387.2,0.84,86
1,8,78,9.20348,1806,0.1,87
3,1,60,15.1665,325.6,0.92,0
3,1,66,16.7547,150.6,1,1
3,1,78,18.9838,261,0.94,2
3,1,81,18.6812,150.4,1,3
3,1,87,18.8577,160.6,1,4
3,1,90,21.6302,210.4,1,5
3,2,60,12.931,110.6,1,6
3,2,66,16.7417,120,1,7
3,2,78,18.6487,374.8,0.86,8
3,2,84,24.8374,1433.2,0.3,9
3,2,87,19.6662,157.6,0.98,10
3,2,90,28.782,200,1,11
3,3,60,18.961,452.2,0.82,12
3,3,81,20.6012,100.4,1,13
3,3,84,19.9128,160.8,1,14
3,3,87,23.9586,160.4,1,15
3,3,90,26.862,200,1,16
3,4,81,18.8773,121.2,1,17
3,4,84,23.939,308.2,0.92,18
3,4,87,32.8311,237.6,0.98,19
3,4,90,35.209,1822,0.1,20
3,5,87,35.6873,1090.4,0.5,21
3,5,90,42.7488,220,1,22
3,6,84,27.7498,140,1,23
3,6,87,33.3784,1017.2,0.54,24
3,6,90,42.0701,241,1,25
3,7,84,30.0651,171.2,1,26
3,7,87,33.5753,190.6,1,27
